job_title,description,salary,location
Full Stack Developer,"React, JavaScript, CSS, Node.js, Express.js, SQL, WordPress, Laravel, Frontend Development, Backend Development, API Development, Database Management, GitHub, Version Control, SEO Collaboration, Debugging, Performance Optimization, Cross-browser Compatibility, Communication",60000,All cities
Web Developer,"Python, JavaScript, HTML5, Responsive Design, Frontend Development, Backend Integration, Database Management, MySQL, PostgreSQL, APIs, Django, Flask, Node.js, React, Debugging, Testing, Git, GitHub, Version Control, Cross-browser Compatibility, Performance Optimization, Web Security, Task Management, Documentation",40000,All cities
Full Stack Web Developer,"React, Angular, Node.js, PHP, WordPress, Frontend Development, Backend Development, RESTful API Design, SQL, NoSQL Databases, Database Design, CSS Media Queries, Bootstrap, Responsive Design, Git, Version Control, Debugging, Performance Optimization, Code Reviews, Communication, Cross-functional Collaboration",100000,Islamabad
Full Stack Developer (React & Python),"React, React Router, Python, RESTful APIs, Frontend Development, Backend Development, Database Management, SQL, Version Control, Agile Methodologies, Debugging, Problem Solving, Code Reviews, API Integration, Web Application Architecture, Communication",120000,All cities
Full Stack Web Developer,"JavaScript, Web Development, Frontend Development, Backend Development, SQL, MySQL, Database Management, Server-side Logic, API Integration, Responsive Design, SEO, Performance Optimization, Debugging, Testing, Code Reviews, Security Best Practices, Communication",150000,All cities
Full Stack Developer,"HTML, CSS, JavaScript, React, Angular, Vue, Node.js, PHP, Python, .NET, RESTful APIs, LMS Development, Moodle, Canvas, Database Management, MySQL, PostgreSQL, MongoDB, Git, Version Control, Cloud Services (AWS, Azure), Responsive Design, Bootstrap, Flexbox, Software Testing, Continuous Integration, SCORM, xAPI, Debugging, API Integration, Communication",120000,Karachi
Java Developer,"Java, Spring Framework, Spring Boot, Spring MVC, Backend Development, Microservices Architecture, RESTful APIs, MySQL, PostgreSQL, Redis, RabbitMQ, Caching Mechanisms, Messaging Queues, OOP, Software Engineering Principles, Git, Version Control, API Integration, Payment Gateways, Twilio, Google Maps API, WebRTC, Socket Communication, Third-party Integrations, Debugging, Code Reviews",180000,Lahore
Full Stack Web Developer,"React, React.js, HTML, CSS, Frontend Development, Backend Development, API Design, API Integration, Database Management, Database Design, Shopify Theme Development, WooCommerce, Magento, Payment Gateway Integration, SEO Optimization, Responsive Design, Version Control, Git, Testing, Debugging, Continuous Integration, Continuous Deployment, Cloud Services, Google Cloud Platform, E-commerce Development, B2B Web Development, AI Chatbots",300000,Lahore
Software Engineer II - Backend | NextGen Engineering,"Java, Java 8, Spring Boot, Microservices Architecture, Backend Development, Distributed Systems, SQL, NoSQL Databases, AWS Infrastructure, System Design, Data Structures, Algorithms, Object-Oriented Design, Clean Code Principles, SOLID Principles, Design Patterns, Agile Methodologies, Test-Driven Development, API Development, Problem Solving, Communication, Code Quality, Debugging",280000,Lahore
Graphic Designer,"Adobe Photoshop, Adobe Illustrator, Graphic Design, Typography, Branding, Creative Concept Development, Vector Graphics, Social Media Design, Marketing Design, UI/UX Basics, Visual Communication, Illustration, Content Design, Collaboration, Creativity",40000,Karachi
Graphic Designer,"Adobe Photoshop, Adobe Illustrator, Adobe InDesign, Creative Suite, Typography, Color Theory, Layout Design, Branding, Social Media Design, Print Design, Digital Media Design, Visual Communication, Graphic Design Workflow, Collaboration, Time Management",40000,Karachi
Product Developer + Graphic Designer,"Product Development, Graphic Design, Adobe Photoshop, Adobe Illustrator, Adobe Premiere Pro, Video Editing, Digital Printing, Mimaki Printer Operation, Apparel Design, Branding, Layout Design, Creative Design, Production Management, Trend Analysis, Office Management, Collaboration, Time Management",50000,Faisalabad
Graphic Designer,"Adobe Illustrator, Adobe Photoshop, Canva, Graphic Design, Print Design, Prepress, CMYK Color Mode, Bleeds and Trim Lines, Layout Design, Artwork Preparation, Print Production, Web-to-Print Systems, File Management, Team Management, Attention to Detail, Collaboration, Time Management",40000,Multan
Graphic Designer,"Adobe Photoshop, Adobe Illustrator, Graphic Design, Social Media Design, Product Photography Editing, Photo Retouching, Video Editing, AI Design Tools, Generative AI, Layout Design, Color Theory, Visual Composition, Branding, Creative Design, Marketing Design, Trend Analysis, Collaboration, Time Management",50000,Lahore
Junior Play Store Graphic Designer,"Graphic Design, Marketing Design, Google Play Store Creatives, App Store Optimization (ASO), A/B Testing, Conversion Optimization, Mobile App Marketing, Adobe Photoshop, Adobe Illustrator, Figma, Social Media Design, Advertising Creatives, Google Ads, Meta Ads, Visual Communication, Attention to Detail, Time Management",40000,Islamabad
Graphic Designer,"CorelDRAW, Adobe Illustrator, Graphic Design, Vector Graphics, File Conversion (AI to CorelDRAW), Pattern Design, Layout Design, Print Design, Branding, Visual Communication, Design Adjustment, Production Design, Collaboration, Attention to Detail, Time Management",60000,"Sialkot"
Digital Marketing Specialist,"Digital Marketing, Social Media Marketing, SEO, SEM, Email Marketing, Content Marketing, Google Analytics, Facebook Insights, Campaign Management, Paid Advertising, Google Ads, Facebook Ads, Brand Strategy, Data Analysis, Marketing Strategy, Communication, Project Management",50000,All cities
Graphic Designer,"Adobe Photoshop, Adobe Illustrator, Adobe InDesign, Graphic Design, Book Design, eBook Design, PDF Design, Social Media Design, Typography, Color Theory, Layout Design, Print Design, Digital Design, Visual Communication, Motion Graphics (Basic), Collaboration, Time Management",45000,All cities
Automation Engineer (AI / Digital Workforce),"Automation Systems, Artificial Intelligence, Workflow Automation, Business Process Analysis, Process Optimization, Scripting, Programming, System Integration, Cloud Solutions, Performance Monitoring, Troubleshooting, Digital Transformation, Scalable Systems, Documentation, Problem Solving, Collaboration, Communication",80000,Islamabad
Graphic Designer,"Adobe Photoshop, Adobe Illustrator, Figma, UI/UX Design, Wireframing, Prototyping, Graphic Design, Social Media Design, Branding, Typography, Color Theory, Video Editing, Adobe Premiere Pro, After Effects (Basic), Motion Graphics, CapCut, Layout Design, Digital Campaign Design, Print Design, Collaboration, Time Management",55000,All cities
Graphic Designer,"Adobe Photoshop, Adobe Illustrator, Graphic Design, Typography, Branding, Creative Concept Development, Team Leadership, Project Management, Visual Communication, Illustration, Marketing Design, Layout Design, Collaboration, Creativity, Communication Skills",35000,Karachi
Graphic Designer,"Adobe Photoshop, Adobe Illustrator, Graphic Design, Branding, Visual Identity, Creative Design, Layout Design, Typography, Team Collaboration, Communication Skills, Time Management, Project Management, Creativity, English Proficiency",50000,Lahore
Graphic Designer & Visual Content Creator,"Adobe Photoshop, Adobe Illustrator, Adobe InDesign, Adobe Premiere Pro, Adobe After Effects, Graphic Design, Typography, Branding, Visual Identity, Layout Design, Print Design, Digital Content Creation, Social Media Design, Video Editing, Animation, Product Photography, Photo Retouching, Color Theory, Pre-Press, Collaboration, Creativity",50000,Karachi
Graphic Designer,"Adobe Photoshop, Adobe Illustrator, Adobe Premiere Pro, Adobe After Effects, Graphic Design, Social Media Design, Ad Creative Design, Video Editing, Motion Graphics, Branding, Visual Communication, Typography, Color Theory, Layout Design, Digital Marketing Design, Creativity, Collaboration, Time Management",100000,Lahore
Graphic Designer,"Graphic Design, Communication Skills, Attention to Detail, Time Management, Online Tools Proficiency, Form Handling, Professionalism, Adaptability, Collaboration, Creativity",60000,Lahore
Video Editor & Graphic Designer,"Adobe Premiere Pro, Video Editing, Color Correction, Graphic Design, Adobe Photoshop, Adobe Illustrator, Social Media Design, Advertising Design, Visual Communication, Branding, Creative Concept Development, Collaboration, Time Management, Attention to Detail, Creativity",60000,Lahore
Graphic Designer,"Adobe Photoshop, Canva, CorelDRAW, Graphic Design, Social Media Design, Ad Creative Design, Branding, Visual Communication, Layout Design, Creativity, Trend Awareness, Collaboration, Time Management, Content Design",25000,Lahore
Senior Software Engineer I,"Software Engineering, Artificial Intelligence, Machine Learning, Backend Development, System Design, Scalable Systems, Cloud Computing, Algorithms, Data Structures, Automation, API Development, Performance Optimization, Security, Problem Solving, Mentoring, Collaboration",180000,All cities
Senior Software Engineer I,"Software Engineering, Backend Development, Java, Golang, Object-Oriented Programming, Data Structures, Algorithms, System Design, Cloud Computing, AWS, Google Cloud Platform, Microsoft Azure, Docker, Kubernetes, Relational Databases, NoSQL Databases, API Development, Agile Methodologies, Testing, Source Control, Problem Solving",200000,Lahore
Senior Software Engineer,"ASP.NET, .NET Core, MVC, JavaScript, SQL Server, Software Development, Web Development, Clean Code, Code Optimization, Debugging, Software Architecture, Team Collaboration, HTML, CSS, WordPress",180000,Karachi
Senior Software Engineer,"System Design, Node.js, Performance Optimization, API Development, RESTful APIs, GraphQL, Cloud Computing, Cloud Infrastructure Optimization, DevOps, CI/CD, GitHub Actions, MongoDB, ELK Stack, Elasticsearch, Logstash, Kibana, Debugging, Monitoring Systems, Serverless Architecture, Software Architecture, Problem Solving, Collaboration, Code Quality",250000,Islamabad
SEO Expert,"SEO, Keyword Research, On-Page Optimization, Technical SEO, Local SEO, Google Analytics, Google Search Console, SEO Tools, Content Optimization, Meta Tags Optimization, Site Speed Optimization, Crawl Error Fixing, Indexing, Reporting, Data Analysis, Communication Skills, Night Shift Work Discipline",55000,Lahore
SEO Expert,"SEO, Keyword Research, On-Page Optimization, Technical SEO, Content Strategy, Link Building, SEO Auditing, Ahrefs, Google Analytics, Google Search Console, Schema Markup, Structured Data, AI SEO (AEO/GEO), Content Optimization, Meta Tags Optimization, Internal Linking, Backlink Strategy, Log Analysis, AI Search Optimization (SGE, ChatGPT), Team Leadership",60000,Karachi
SEO Expert,"SEO, Keyword Research, On-Page Optimization, Technical SEO, Content Strategy, Backlink Analysis, SEO Auditing, Google Analytics, Google Search Console, Competitor Analysis, Local SEO, Link Building, Meta Tags Optimization, Organic Traffic Growth, Crawlability Optimization, Data Analysis, Reporting, Collaboration",45000,Lahore
SEO Expert + Google & Meta Ads Specialist,"SEO, Keyword Research, On-Page SEO, Off-Page SEO, Technical SEO, Content Optimization, Competitor Analysis, Shopify Optimization, Ecommerce Marketing, Marketplace Listings Optimization, Google Ads, Meta Ads (Facebook & Instagram), Performance Marketing, A/B Testing, Conversion Optimization, ROAS Optimization, CTR Optimization, CPA Optimization, Google Analytics, Google Search Console, Data Analysis, Campaign Management",50000,Karachi
SEO Expert,"SEO, Generative Engine Optimization (GEO), AI Visibility Optimization, Search Engine Optimization, Keyword Research, Entity Research, On-Page SEO, Technical SEO, Content Strategy, Structured Data, Schema Markup, Featured Snippets Optimization, AI Search Optimization, Content Optimization, WordPress, Shopify, Analytics, Reporting, Google Search Console, SEMrush, Competitive Analysis, Topical Authority Building",100000,Lahore
SEO Expert,"SEO, Keyword Research, On-Page Optimization, Technical SEO, Link Building, SEO Auditing, Content Optimization, Meta Tags Optimization, Content Marketing Strategy, Google Keyword Planner, Google Analytics, Google Search Console, Ahrefs, SEMrush, Moz, Data Analysis, Reporting, HTML, CSS, Website Optimization, Search Engine Algorithms, Organic Traffic Growth",50000,Islamabad
Off Page SEO Expert/Link Builders,"Off-Page SEO, Link Building, SEO, On-Page SEO, Technical SEO, Keyword Research, SEO Planning, Competitor Analysis, Site Audits, Core Web Vitals Optimization, Google Search Console, Google Analytics, SEO Reporting, Content Optimization, Outreach Campaigns, Citation Building, SERP Analysis, Communication, Analytical Skills",30000,Lahore
Geo / AEO / SEO Expert,"SEO, Generative Engine Optimization (GEO), Answer Engine Optimization (AEO), Search Engine Optimization, Team Leadership, Keyword Research, Competitive Analysis, On-Page SEO, Off-Page SEO, Technical SEO, Local SEO, Google My Business Optimization, Content Strategy, Content Marketing, Link Building, Backlink Building, Citation Building, SEO Auditing, Structured Data, HTML Optimization, Google Analytics, SEMrush, Ahrefs, Google Keyword Planner, SEO Reporting, Data Analysis, AI Search Optimization",120000,Multan
Daraz Expert & Product Hunting Specialist,"Daraz Seller Center Management, Product Research, Market Trend Analysis, Competitor Analysis, E-commerce Management, Sales Data Analysis, Product Listing Optimization, SEO for E-commerce, Keyword Research, Keyword Research Tools, Supplier Sourcing, Inventory Management, Market Research, Data Analysis, Sales Analytics, Product Sourcing, Marketplace Optimization, Listing Optimization, Communication, Strategy Development",35000,Karachi
HARO Link Building Expert (Digital PR & Outreach),"Link Building, Digital PR, HARO, Qwoted, ProfNet, Guest Posting, Niche Link Acquisition, Outreach Campaigns, Media Outreach, SEO, Backlink Building, Domain Authority Analysis, Anchor Text Strategy, SEO Tools (Ahrefs, SEMrush, Moz), Email Outreach, Content Pitches, Reporting, Written Communication, SEO Compliance, Campaign Management",120000,Karachi
Junior SEO Executive (Packaging),"SEO, Google Merchant Center Management, Product Listing Optimization, Keyword Research, On-Page SEO, Metadata Optimization, Website Optimization, Organic Traffic Growth, Google Analytics, Google My Business (GMB), Link Building, Guest Posting, Technical SEO, Content Optimization, E-commerce SEO, Search Engine Ranking, Performance Tracking, Data Analysis, Packaging Industry SEO",40000,Lahore
Digital Marketing Associate,"SEO, Search Engine Optimization, Content Marketing, Content Creation, Social Media Management, Pay Per Click (PPC) Advertising, Google Ads, Email Marketing, Marketing Automation, Campaign Management, Keyword Research, A/B Testing, Google Analytics, Digital Marketing, Audience Engagement, Performance Tracking, Content Strategy, Competitor Analysis, Communication, Data Analysis",35000,Lahore
Digital Marketing Data Entry,"Data Entry, Digital Marketing Support, Computer Operations, MS Word, Spreadsheet Management, Database Management, Data Accuracy, Administrative Support, Reporting, Document Preparation, Email Marketing Support, Social Media Data Tracking, Organizational Skills, Attention to Detail, Team Collaboration, Data Verification, Filing Systems Management, Basic Office Tools",45000,Gujrat
Digital Marketing Assistant,"Digital Marketing, Content Creation, Social Media Management, Email Marketing, Paid Advertising, Customer Relationship Management (CRM), A/B Testing, Campaign Management, Audience Engagement, Performance Analysis, Content Strategy, Data Analysis, Reporting, Marketing Optimization, Brand Awareness, Communication, Digital Campaigns",60000,All cities
Digital Marketing Manager,"Digital Marketing Strategy, SEO, SEM, Social Media Marketing, Email Marketing, Content Marketing, Paid Advertising, Google Ads, Meta Ads (Facebook & Instagram), Google Analytics, CRM Platforms, Marketing Automation, A/B Testing, Conversion Rate Optimization (CRO), Lead Generation, Data Analytics, Performance Reporting, Competitor Analysis, Market Research, Budget Management, UX/UI Principles, HTML, CSS, Communication, Leadership, Problem Solving",75000,Lahore
Social Media & Digital Marketing Manager — Karachi,"Content Strategy, Social Media Management, Digital Marketing, Social Media Marketing, Digital Advertising, Campaign Management, Brand Management, Email Marketing, Content Creation, Social Media Advertising, Facebook Ads Manager, Social Media Analytics, Social Media Monitoring Tools, A/B Testing, Performance Optimization, E-commerce Management, Customer Engagement, Data Analysis, Reporting, ROI Optimization, Digital Campaign Optimization",90000,Karachi
CRM & Digital Marketing Expert,"CRM Management, HubSpot, Salesforce, Digital Marketing Strategy, SEO, PPC Advertising, Email Marketing, Social Media Marketing, Marketing Automation, Lead Generation, Customer Segmentation, Data Analysis, Campaign Management, A/B Testing, Performance Tracking, Conversion Optimization, Content Marketing, Funnel Optimization, Reporting, Team Leadership, Marketing Analytics, Customer Relationship Management",70000,Lahore
Social Media & Digital Marketing Specialist,"Social Media Management, Digital Marketing, Customer Service, Customer Support, Communication Skills, WhatsApp Marketing, Facebook Marketing, Instagram Marketing, LinkedIn Marketing, Meta Business Suite, Paid Advertising, Campaign Management, Meta Ads Optimization, Data Analysis, MS Excel, MS Office, Problem Solving, Multitasking, Content Scheduling, Performance Reporting, Customer Relationship Management",60000,Lahore
Digital Marketing Specialist,"Digital Marketing, Paid Advertising, Meta Ads, Google Ads, TikTok Ads, Campaign Management, Performance Marketing, Conversion Tracking, Google Analytics, Google Tag Manager, Audience Research, Competitor Analysis, Content Marketing, Social Media Marketing, A/B Testing, Data Analysis, Reporting, Ad Optimization, Landing Page Optimization, Collaboration, Communication Skills",45000,Lahore
Digital Marketing Executive,"Content Marketing, Social Media Marketing, Email Marketing, Data Analytics, Facebook Ads Manager, Digital Marketing Strategy, Campaign Management, Audience Engagement, Performance Tracking, Data Analysis, Reporting, Brand Awareness, Content Creation, Marketing Optimization, Competitor Analysis, Communication Skills, Organizational Skills",40000,Islamabad
Digital Marketing Intern,"SEO, Search Engine Optimization, Content Marketing, Social Media Management, Marketing Automation, Campaign Analysis, Content Creation, Canva, CapCut, Data Analysis, Reporting, Lead Generation, Email Marketing Support, Market Research, Performance Tracking, Digital Marketing Basics, Collaboration, Communication Skills, Creativity, Adaptability",20000,Lahore
Senior Digital Marketing Expert,"US Marketing Strategy, Digital Marketing Campaigns, Search Engine Marketing (SEM), Social Media Marketing, Email Marketing, Paid Advertising, Market Research, Analytics, Data-Driven Decision Making, Content Optimization, Conversion Rate Optimization, ROI Analysis, Strategic Planning, Cross-Functional Collaboration, Reporting, Trend Analysis, Marketing Compliance",120000,Lahore
Digital Marketing Manager,"Digital Marketing Strategy, Paid Advertising (PPC, Social Media Ads, Retargeting), SEO, SEM, Social Media Management, Email Marketing, Analytics, Campaign Management, Budget Management, Data-Driven Optimization, Team Leadership, Client Coordination, Project Management, UI/UX Awareness, Web/App Development Knowledge",130000,Islamabad
Digital Marketing Manager,"Digital Marketing Strategy, SEO Auditing, Keyword Research, Content Marketing, Social Media Marketing, Marketing Automation, Data Analytics, Conversion Rate Optimization, Campaign Management, Google Analytics, Google Optimize, Google Tag Manager, Facebook Insights, Social Media Monitoring Tools, A/B Testing, Project Management",60000,All cities
Digital Marketing Manager,"Digital Marketing Strategy, Social Media Marketing, Email Marketing, Google Analytics, Social Media Analytics, Email Automation, SEO, Content Marketing, Paid Search, Paid Social, Display Advertising, Team Leadership, Marketing Automation, A/B Testing, Campaign Management, Lead Generation, Brand Positioning, Cross-Functional Collaboration",120000,All cities
Digital Marketing Expert,"Search Engine Optimization, Social Media Marketing, Content Creation, Analytics, Campaign Optimization, Digital Advertising, Market Research, Brand Management, Performance Reporting",35000,Lahore

Data Analyst,"Excel,Google Sheets,SQL,Power BI,Tableau,Data Cleaning,Data Validation,Dashboard Development,Reporting,Pattern Recognition,Data Structuring,Python,Pandas,NumPy,Communication",72500,Rawalpindi
Data Analyst,"SQL,Power BI,Tableau,Excel,Data Cleaning,Data Analysis,Statistics,Reporting,Dashboard Development,Data Visualization,Data Validation,Data Quality,Pattern Recognition,Critical Thinking,Communication,Presentation",140000,Lahore
Data Analyst,"Python,SQL,Pandas,NumPy,Matplotlib,GeoPandas,Shapely,QGIS,ArcGIS,GIS,AI Pipelines,Data Processing,Exploratory Data Analysis,Performance Analytics,Grafana,Dashboard Development,Data Quality,Data Integrity,Communication,Project Management",95000,Islamabad
Data Analyst,"SQL,Python,CTEs,Window Functions,UDFs,AWS,GCP,BigQuery,Athena,S3,Lambda,FHIR,OMOP,CDISC,EHR,Clinical Data,Cohort Analysis,Data Validation,Data Quality,Semantic Modeling,Healthcare Data,Communication,Cross-functional Collaboration",110000,Lahore
Data Analyst,"SQL,Tableau,Power BI,A/B Testing,KPI Tracking,Data Visualization,Dashboard Development,User Behavior Analysis,Retention Analysis,Churn Analysis,Monetization Analysis,Game Analytics,Firebase,GameAnalytics,Statistics,Reporting,Communication,DAU/MAU Analysis,ARPU",120000,Lahore
Data Analyst,"Power BI,DAX,Data Modeling,Excel,Pivot Tables,Data Cleaning,Data Collection,Dashboard Development,Row-Level Security,Statistical Modeling,Data Visualization,Data Mining,Data Integration,Data Quality,Data Preprocessing,Ad-hoc Analysis,Reporting,Communication,Collaboration,Alteryx,Big Data",85000,Karachi
Data Analyst,"SQL,Python,ETL/ELT,Data Pipelines,Data Warehousing,Data Modeling,Data Migration,Schema Mapping,Data Reconciliation,Data Quality,Data Validation,Git,GitHub,Apache Airflow,Azure Data Factory,Microsoft Fabric,Azure,REST APIs,CI/CD,Parquet,Delta,Query Optimization,Pipeline Orchestration,Communication,Problem Solving",180000,Lahore
Data Analyst Intern,"Excel,Pivot Tables,SQL,Python,Google Sheets,Data Cleaning,Data Validation,Data Entry,Reporting,Dashboard Development,Data Transformation,Data Quality,Trend Analysis,Communication,Collaboration",35000,Lahore
Operational Analyst,"Excel,Advanced Formulas,Pivot Tables,Data Analysis,Dashboard Development,Data Visualization,Conditional Formatting,Workflow Automation,Reporting,Filters and Sorting,Communication,Time Management",65000,Karachi
Social Media Marketing Analyst,"Social Media Marketing,Content Creation,LinkedIn,YouTube,Instagram,Facebook,Campaign Management,Engagement Analytics,Performance Analysis,Content Strategy,AI Tools,Digital Marketing,Brand Management,Marketing Research,Communication,Analytical Thinking",125000,All cities
Data Analyst,"Power BI,Tableau,SISENSE,Excel,Python,R,Data Cleaning,Data Transformation,Dashboard Development,Reporting,Predictive Modeling,Ad-hoc Analysis,Data Visualization,Learning & Development Analytics,Statistical Analysis,Communication,Collaboration,Problem Solving",110000,Lahore
Data Analyst,"SQL,Excel,SPSS,SAS,Statistical Analysis,Data Mining,Data Cleaning,Database Design,Data Modeling,Reporting,ETL,JavaScript,XML,Trend Analysis,Data Collection,Process Improvement,Communication",32500,Lahore
Conversion Specialist,"Conversion Rate Optimization,A/B Testing,Shopify,eCommerce,Product Page Optimization,Copywriting,Direct Response Marketing,Consumer Psychology,Data Analysis,Funnel Analysis,AOV Optimization,Visual Optimization,Analytical Thinking,Performance Marketing",250000,All cities
Data Analyst,"Data Quality,Data Validation,Data Auditing,QA Frameworks,Root Cause Analysis,Data Pipeline,Data Coverage,Spreadsheets,Analytical Thinking,Structured Thinking,Problem Solving,Communication,Data Operations,Third-party Data Review,Workflow Design,Attention to Detail",95000,Lahore
Data Scientist,"Python,R,SQL,Machine Learning,Statistical Analysis,Data Preprocessing,Data Cleaning,Data Pipelines,Classification,Regression,Clustering,Recommendation Systems,Tableau,Power BI,Data Visualization,Dashboard Development,Mentoring,Communication,Model Deployment,Automated Reporting",130000,Lahore
Data Scientist,"Python,Pandas,NumPy,Scikit-learn,SQL,Machine Learning,Statistical Analysis,Probability,Hypothesis Testing,Predictive Modeling,A/B Testing,Dashboard Development,Automated Reporting,Data Cleaning,AWS,GCP,Azure,Snowflake,Apache Airflow,Apache Spark,Geospatial Analysis,Real-time Data,Communication",160000,Lahore
Responsible AI Trainee,"Python,TensorFlow,PyTorch,Machine Learning,Ethical AI,Responsible AI,AI Fairness,Risk Assessment,HIPAA Compliance,Data Privacy,Data Security,AI Transparency,Cross-functional Collaboration,Analytical Thinking,Communication,Problem Solving",65000,Lahore
Data Scientist,"Python,Azure ML,AWS SageMaker,GCP Vertex AI,Machine Learning,Time Series Forecasting,Anomaly Detection,IoT Data Analysis,Generative AI,Model Deployment,Model Monitoring,Deep Learning,Data Analysis,Collaboration",175000,Hyderabad
Senior Data Scientist,"Python,R,SQL,Pandas,NumPy,Scikit-learn,PyTorch,TensorFlow,Machine Learning,Supervised Learning,Unsupervised Learning,Ensemble Methods,Feature Engineering,EDA,Statistical Modeling,Hypothesis Testing,MLOps,AWS Redshift,Snowflake,BigQuery,Tableau,Power BI,Data Visualization,Storytelling,Communication,Cross-functional Collaboration",250000,Islamabad
Data Engineer,"Python,SQL,ETL/ELT,Data Pipelines,Data Warehousing,Data Modeling,AWS,GCP,Azure,BigQuery,Redshift,Snowflake,Apache Airflow,Airbyte,Dataform,Docker,Kubernetes,Apache Kafka,Apache Spark,Apache Flink,Data Quality,Data Governance,Data Security,Git,GitHub,Communication,Cross-functional Collaboration",150000,All cities
Senior AI/ML Engineer,"Python,Machine Learning,LLMs,RAG,Prompt Engineering,Agentic AI,LangGraph,Vertex AI,GCP,Azure,AWS,Docker,Kubernetes,Terraform,CI/CD,Microservices,APIs,EDA,Experiment Design,Model Cards,AI Explainability,Data Governance,Security,Compliance,Technical Leadership,Stakeholder Engagement,Communication",450000,Hyderabad
Data Engineer,"Python,Java,SQL,Azure Databricks,Azure Data Factory,Azure Synapse,Azure Data Lake,Azure Cosmos DB,Azure Logic Apps,Azure Functions,Azure Storage,Apache Hadoop,Apache Spark,NoSQL,ETL/ELT,Data Pipelines,Data Warehousing,Data Modeling,Data Security,Data Quality,Big Data,Cloud Computing,Documentation,Problem Solving,Communication",140000,Islamabad
Senior Data Scientist,"Python,SQL,TensorFlow,PyTorch,Scikit-learn,Machine Learning,MLOps,Docker,Kubernetes,AWS,GCP,Azure,CI/CD,Model Deployment,Model Monitoring,Statistical Analysis,Hypothesis Testing,Data Visualization,Recommendation Systems,Fraud Detection,Customer Segmentation,Demand Forecasting,Dataform,Git,GitHub,Mentoring,Communication,Leadership",220000,All cities
Data Engineer,"Python,SQL,Scala,Java,Apache Airflow,Apache Spark,Apache Kafka,Hadoop,Talend,Informatica,ETL/ELT,Data Pipelines,Data Warehousing,Data Lake,Star Schema,Snowflake Schema,AWS,Azure,GCP,PostgreSQL,MySQL,MongoDB,Docker,Kubernetes,CI/CD,Git,Power BI,Tableau,Data Quality,Data Governance,Real-time Processing,Communication,Problem Solving",145000,Lahore
AI Applications Engineer,"Python,FastAPI,LLMs,OpenAI,Anthropic,Mistral,Gemini,LangChain,LangGraph,CrewAI,AutoGen,Flowise,Haystack,RAG,Vector Databases,Pinecone,Qdrant,Weaviate,FAISS,Prompt Engineering,MCP,RLHF,MLflow,BentoML,Docker,Kubernetes,CI/CD,Git,Whisper,ElevenLabs,Multimodal AI,NLP,Computer Vision,REST APIs,Communication,Collaboration",175000,Karachi
